Country,Year,Population_15To64_Percent,Population_65andUp_Percent,Population_Growth_Percent,Population_Female_Percent,Population_Male_Percent,Rural_Population_Percent,Rural_Population_Growth_Percent,Urban_Population_Percent,Urban_Population_Growth_Percent,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr
Blank,0,Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, male (% of total population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)"
Niger,2007,47.8203894902685,2.46892849149008,3.75657611870699,50.1347392281479,49.8652607718521,83.766,3.7613580339656,16.234,3.73190548753688,54.968,54.127,55.846
Niger,2008,47.6500677861279,2.48195713986341,3.77852947759372,50.1000497478413,49.8999502521587,83.771,3.78449178581331,16.229,3.74775883773054,55.764,54.88,56.688
Niger,2009,47.5321516268279,2.49350933303407,3.80966608809001,50.0655710036103,49.9344289963897,83.775,3.81444350896435,16.225,3.78500232710386,56.557,55.63,57.528
Niger,2010,47.4605997014703,2.50325786069931,3.84416665603582,50.0303722813832,49.9696277186168,83.779,3.84894479087042,16.221,3.81949194428495,57.333,56.364,58.351
Niger,2011,47.3011608806103,2.52222554488913,3.87641358325453,49.9943499094642,50.0056500905358,83.784,3.88237861707235,16.216,3.84559941727013,58.081,57.074,59.141
Niger,2012,47.2137277390938,2.53848086086087,3.89874303777256,49.9581713257765,50.0418286742235,83.788,3.90351828390637,16.212,3.8740669056135,58.79,57.752,59.886
Niger,2013,47.183443658254,2.55260931240722,3.90731712034815,49.9224747216686,50.0775252783315,83.792,3.91208800962548,16.208,3.88265624280715,59.455,58.392,60.579
Niger,2014,47.2003560881632,2.56487218751967,3.89984696834574,49.8882391029357,50.1117608970643,83.781,3.88672014883935,16.219,3.96768243215364,60.07,58.988,61.214
Niger,2015,47.2592553929141,2.57546085043029,3.88145154449419,49.8560344707338,50.1439655292662,83.753,3.84802587765253,16.247,4.05393775545166,60.631,59.536,61.789
Niger,2016,47.2583696277197,2.58428601788329,3.85984309179029,49.8258364159644,50.1741635840356,83.71,3.80848578070822,16.29,4.12417152057875,61.137,60.033,62.305
